16:59:14.007737 git.c:460               trace: built-in: git push origin --mirror --quiet
16:59:14.009255 run-command.c:655       trace: run_command: unset GIT_PREFIX; 'git-receive-pack '\''/home/likui/test/repos/project.git'\'''
16:59:14.014696 git.c:460               trace: built-in: git receive-pack /home/likui/test/repos/project.git
16:59:14.016961 run-command.c:655       trace: run_command: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
16:59:14.021449 git.c:460               trace: built-in: git pack-objects --all-progress-implied --revs --stdout --thin --delta-base-offset -q
16:59:14.036727 run-command.c:655       trace: run_command: GIT_ALTERNATE_OBJECT_DIRECTORIES=/home/likui/test/repos/project.git/./objects GIT_OBJECT_DIRECTORY=/home/likui/test/repos/project.git/./objects/tmp_objdir-incoming-nldiCj GIT_QUARANTINE_PATH=/home/likui/test/repos/project.git/./objects/tmp_objdir-incoming-nldiCj git unpack-objects --pack_header=2,28 -q
16:59:14.042018 git.c:460               trace: built-in: git unpack-objects --pack_header=2,28 -q
16:59:14.060394 run-command.c:655       trace: run_command: GIT_ALTERNATE_OBJECT_DIRECTORIES=/home/likui/test/repos/project.git/./objects GIT_OBJECT_DIRECTORY=/home/likui/test/repos/project.git/./objects/tmp_objdir-incoming-nldiCj GIT_QUARANTINE_PATH=/home/likui/test/repos/project.git/./objects/tmp_objdir-incoming-nldiCj git rev-list --objects --stdin --not --exclude-hidden=receive --all --quiet --alternate-refs
16:59:14.064547 git.c:460               trace: built-in: git rev-list --objects --stdin --not --exclude-hidden=receive --all --quiet --alternate-refs
16:59:14.066671 run-command.c:655       trace: run_command: unset GIT_ALTERNATE_OBJECT_DIRECTORIES GIT_DIR GIT_OBJECT_DIRECTORY GIT_PREFIX; git --git-dir=/home/likui/test/repos/project.git for-each-ref '--format=%(objectname)'
16:59:14.069731 git.c:460               trace: built-in: git for-each-ref '--format=%(objectname)'
16:59:14.077834 run-command.c:655       trace: run_command: git gc --auto --quiet
16:59:14.079722 git.c:460               trace: built-in: git gc --auto --quiet
